player_name,origin_club,origin_league,season,position,matches_played,matches_started,minutes,minutes_per_appearance,xg90,npxg90,xa90,goals90,assists90,tackles90,interceptions90,clearances90,shots_blocked90,crosses90,cards90,saves90,save_pct,goals_conceded90,clean_sheet_pct,captured_at,source_file
Matty Crooks,Hull City,EFL Championship,2025/26,Midfielder - Central Midfield,34,31,2778,82,0.15,0.15,0.19,0.13,0.16,2.4,1.07,1.65,0.23,0.49,0.42,,,1.04,35,2026-08-05,"Matty Crooks Stats - Goals, xG, Assists, xA & Career Stats _ FootyStats.pdf"
Matty Jacob,Hull City,EFL Championship,2025/26,Defender - Left Back,5,1,172,34,0,0,0.12,0,0,4.16,2.6,3.64,0,0.52,0,,,0.52,40,2026-08-05,"Matty Jacob Stats - Goals, Blocks, xG & Career Stats _ FootyStats.pdf"
Mohamed Elbachir Belloumi,Hull City,EFL Championship,2025/26,Forward,25,12,1124,45,0.44,0.44,0.3,0.24,0.32,1.92,1.68,1.2,0.08,3.84,0.16,,,0.72,24,2026-08-05,"Mohamed Elbachir Belloumi Stats - Goals, xG, Assists & Career Stats _ FootyStats.pdf"
Oliver McBurnie,Hull City,EFL Championship,2025/26,Forward - Center Forward,40,35,3176,79,0.49,0.43,0.19,0.51,0.2,0.94,0.23,2.61,0.34,0.2,0.26,,,1.25,33,2026-08-05,"Oliver McBurnie Stats - Goals, xG, Assists & Career Stats _ FootyStats.pdf"
Oluwasemilogo Adesewo Ibidapo Ajayi,Hull City,EFL Championship,2025/26,Defender - Center Back,24,20,1833,76,0.07,0.07,0.1,0.05,0.05,1.57,1.47,6.38,0.64,0.29,0.1,,,1.23,28,2026-08-05,"Oluwasemilogo Adesewo Ibidapo Ajayi Stats - Goals, Blocks, xG & Career Stats _ FootyStats.pdf"
Paddy McNair,Hull City,EFL Championship,2025/26,Defender - Center Back,14,6,710,51,0.04,0.04,0.17,0,0.13,1.38,0.63,4.01,0,2.38,0.25,,,1.52,21,2026-08-05,"Paddy McNair Stats - Goals, Blocks, xG & Career Stats _ FootyStats.pdf"
Regan Slater,Hull City,EFL Championship,2025/26,Midfielder - Defensive Midfield,45,38,3421,76,0.08,0.08,0.12,0.05,0.05,1.82,1.16,1.89,0.5,1.82,0.18,,,1.18,28,2026-08-05,"Regan Slater Stats - Goals, xG, Assists, xA & Career Stats _ FootyStats.pdf"
Alex Palmer,Ipswich Town,EFL Championship,2025/26,Goalkeeper - Goalkeeper,10,10,834,83,0,0,0.05,0,0,0.11,0,0.76,0,0,0,1.94,64.29,0.97,10,2026-08-05,Alex Palmer Stats - Clean Sheets & Saves Data _ FootyStats.pdf
Anis Mehmeti,Ipswich Town,EFL Championship,2025/26,Midfielder - Attacking Midfield,46,39,3377,73,0.35,0.35,0.21,0.27,0.19,1.57,0.21,0.59,0.13,4.61,0.27,,,0.99,37,2026-08-05,"Anis Mehmeti Stats - Goals, xG, Assists, xA & Career Stats _ FootyStats.pdf"
Azor Matusiwa,Ipswich Town,EFL Championship,2025/26,Midfielder - Defensive Midfield,45,45,3861,86,0.03,0.03,0.17,0.02,0.07,2.1,1.7,1.84,0.72,0.05,0.21,,,0.96,38,2026-08-05,"Azor Matusiwa Stats - Goals, xG, Assists, xA & Career Stats _ FootyStats.pdf"
Ben Johnson,Ipswich Town,EFL Championship,2025/26,Defender - Right Back,17,9,843,50,0.11,0.11,0.19,0.11,0.11,1.81,0.75,2.78,0.11,4.27,0.11,,,0.75,24,2026-08-05,"Ben Johnson Stats - Goals, Blocks, xG & Career Stats _ FootyStats.pdf"
Cedric Kipre,Ipswich Town,EFL Championship,2025/26,Defender - Center Back,32,29,2589,81,0.12,0.12,0.17,0.1,0.07,1.11,0.9,5.21,0.56,0.35,0.35,,,0.94,41,2026-08-05,"Cedric Kipre Stats - Goals, Blocks, xG & Career Stats _ FootyStats.pdf"
Christian Walton,Ipswich Town,EFL Championship,2025/26,Goalkeeper - Goalkeeper,37,36,3306,89,0,0,0.04,0,0,0.03,0,0.98,0,0,0.11,2.61,72.18,0.98,43,2026-08-05,Christian Walton Stats - Clean Sheets & Saves Data _ FootyStats.pdf
Chuba Akpom,Ipswich Town,EFL Championship,2025/26,Forward - Center Forward,29,7,886,31,0.29,0.29,0.1,0.2,0,0.81,0.1,0.51,0.2,0,0.1,,,0.91,28,2026-08-05,"Chuba Akpom Stats - Goals, xG, Assists & Career Stats _ FootyStats.pdf"
Dara OShea,Ipswich Town,EFL Championship,2025/26,Defender - Center Back,46,46,4140,90,0.09,0.09,0.16,0.02,0.02,0.48,0.85,6.02,1,0.28,0,,,0.98,37,2026-08-05,"Dara O'Shea Stats - Goals, Blocks, xG & Career Stats _ FootyStats.pdf"
Darnell Furlong,Ipswich Town,EFL Championship,2025/26,Defender - Right Back,43,43,3795,88,0.05,0.05,0.14,0.02,0.07,1.09,1.19,3.56,0.31,1.04,0.31,,,0.88,42,2026-08-05,"Darnell Furlong Stats - Goals, Blocks, xG & Career Stats _ FootyStats.pdf"
George Hirst,Ipswich Town,EFL Championship,2025/26,Forward - Center Forward,42,25,2110,50,0.51,0.45,0.13,0.47,0.13,0.47,0.04,0.98,0,0.17,0.26,,,1.02,33,2026-08-05,"George Hirst Stats - Goals, xG, Assists & Career Stats _ FootyStats.pdf"
Jack Clarke,Ipswich Town,EFL Championship,2025/26,Forward - Left Wing,46,23,2380,52,0.52,0.36,0.15,0.61,0.04,1.74,0.68,0.79,0,3.03,0.15,,,1.17,37,2026-08-05,"Jack Clarke Stats - Goals, xG, Assists & Career Stats _ FootyStats.pdf"
Jack Taylor,Ipswich Town,EFL Championship,2025/26,Midfielder - Central Midfield,39,24,2154,55,0.15,0.15,0.19,0.08,0.08,1.63,0.84,1.05,0.21,0.59,0.38,,,0.96,38,2026-08-05,"Jack Taylor Stats - Goals, xG, Assists, xA & Career Stats _ FootyStats.pdf"
Jaden Philogene Bidace,Ipswich Town,EFL Championship,2025/26,Forward - Left Wing,35,24,1996,57,0.59,0.53,0.14,0.54,0.09,1.71,1.13,0.77,0.05,3.15,0.14,,,0.95,37,2026-08-05,"Jaden Philogene-Bidace Stats - Goals, xG, Assists & Career Stats _ FootyStats.pdf"
Kasey McAteer,Ipswich Town,EFL Championship,2025/26,Midfielder - Right Midfield,30,14,1271,42,0.29,0.29,0.13,0.21,0.07,2.08,0.21,0.76,0.21,2.56,0.21,,,1.13,27,2026-08-05,"Kasey McAteer Stats - Goals, xG, Assists, xA & Career Stats _ FootyStats.pdf"
Leif Davis,Ipswich Town,EFL Championship,2025/26,Defender - Left Back,37,35,3167,86,0.08,0.08,0.2,0.06,0.11,0.85,0.82,2.36,0.14,5.94,0.14,,,1.05,35,2026-08-05,"Leif Davis Stats - Goals, Blocks, xG & Career Stats _ FootyStats.pdf"
Marcelino Ignacio Nunez Espinoza,Ipswich Town,EFL Championship,2025/26,Midfielder - Central Midfield,38,25,2234,59,0.29,0.29,0.36,0.12,0.32,1.41,0.4,0.77,0.08,5.2,0.16,,,0.93,42,2026-08-05,"Marcelino Ignacio Nuñez Espinoza Stats - Goals, xG, Assists, xA & Career Stats _ FootyStats.pdf"
Sindre Walle Egeli,Ipswich Town,EFL Championship,2025/26,Forward - Right Wing,6,6,540,90,0.55,0.55,0.28,0.33,0.33,0.83,0.17,0,0,4.67,0,,,1.67,17,2026-08-05,"Sindre Walle Egeli Stats - Goals, xG, Assists & Career Stats _ FootyStats.pdf"
Wes Burns,Ipswich Town,EFL Championship,2025/26,Midfielder - Right Midfield,18,9,797,44,0.22,0.22,0.16,0.23,0.11,0.79,0.9,0.9,0.11,4.62,0.34,,,0.9,56,2026-08-05,"Wes Burns Stats - Goals, xG, Assists, xA & Career Stats _ FootyStats.pdf"
